Serial Number,Student Name,Standard Name,Section Name,School Name,Date of Birth,Gender,Blood Group,Mobile,Email
246,PRASANA R T,4,A,Model School,7/5/2004,male,B+,1111111111,prasad.vishnu.g@modelschool.com
247,PREMAN SRUTHI SRI,4,A,Model School,5/9/2004,male,A2B-,1111111111,prasana.r.t@modelschool.com
248,REDDY HIMAJA P,4,A,Model School,12/11/2004,male,B1-,1111111111,preman.sruthi.sri@modelschool.com
249,REGIS SUNIL MARK,4,A,Demo School,4/8/2004,male,A+,1111111111,regis.sunil.mark@demoschool.com
250,ROSHINI ANUSHA A,4,A,CBSE School,2/9/2004,female,B1-,1111111111,roshini.anusha.a@cbseschool.com
251,RUSHA MADHU C,4,A,CBSE School,4/2/2004,female,A-,1111111111,rusha.madhu.c@cbseschool.com
252,SIVARAM J,4,A,Model School,7/5/2004,male,A2B+,1111111111,rusha.madhu.c@modelschool.com
253,SIVASANKARI R,4,A,CBSE School,5/9/2004,female,A1B-,1111111111,sivasankari.r@cbseschool.com
254,SREYAS P,4,A,Trial School,12/11/2004,female,A2+,1111111111,sreyas.p@trialschool.com
255,SRIDHAR SHRUTHI,4,A,Demo School,4/8/2004,male,AB-,1111111111,sridhar.shruthi@demoschool.com
256,SRINATH M T,4,A,CBSE School,2/9/2004,male,B2+,1111111111,srinath.m.t@cbseschool.com
257,SUDARSANAM SUBASHREE,4,A,Trial School,2/20/2004,male,A2B-,1111111111,sudarsanam.subashree@trialschool.com
258,SURES VISHNU,4,A,CBSE School,6/2/2004,male,B+,1111111111,sures.vishnu@cbseschool.com
259,TANUSHREE R,4,A,Model School,5/14/2004,female,AB+,1111111111,sures.vishnu@modelschool.com
260,THASEEM MOHAMMED E,4,A,Demo School,3/18/2004,male,A2B-,1111111111,thaseem.mohammed.e@demoschool.com
261,RANJAN K MANI,4,B,Demo School,3/18/2004,male,B1-,1111111111,ranjan.k.mani@demoschool.com
262,RAAMMOHAN VIGNESH,4,B,Model School,5/14/2004,male,A1B-,1111111111,ranjan.k.mani@modelschool.com
263,PUSHPANATHAN NIRANJAN,4,B,Demo School,6/2/2004,male,A1-,1111111111,pushpanathan.niranjan@demoschool.com
264,PUROHIT RAJ DASHRATH,4,B,Model School,2/20/2004,male,A+,1111111111,pushpanathan.niranjan@modelschool.com
265,PULIKOT ACHUTH,4,B,Trial School,2/9/2004,male,B-,1111111111,pulikot.achuth@trialschool.com
266,PAARKAVI D,4,B,Model School,4/8/2004,female,AB-,1111111111,pulikot.achuth@modelschool.com
267,NIKESH SUDHAARSHAN,4,B,CBSE School,12/11/2004,male,A-,1111111111,nikesh.sudhaarshan@cbseschool.com
268,NALAVANYA,4,B,Demo School,5/9/2004,female,AB2+,1111111111,nalavanya@demoschool.com
269,MUTHU GKEVIN M,4,B,Demo School,7/5/2004,male,AB2+,1111111111,muthu.gkevin.m@demoschool.com
270,MURALIDHARAN SRINIVAS,4,B,Model School,4/2/2004,male,A2-,1111111111,muthu.gkevin.m@modelschool.com
271,MISSER O NITISHA,4,B,Trial School,2/9/2004,female,O-,1111111111,misser.o.nitisha@trialschool.com
272,MAHALAKSHMI,4,B,Model School,4/8/2004,female,A-,1111111111,misser.o.nitisha@modelschool.com
273,MADHAV TUNTA,4,B,Demo School,12/11/2004,male,O-,1111111111,madhav.tunta@demoschool.com
274,Lousie Paul,4,B,Model School,5/9/2004,male,AB-,1111111111,madhav.tunta@modelschool.com
275,Livingston R,4,B,CBSE School,7/5/2004,male,B1+,1111111111,livingston.r@cbseschool.com
276,Laavanya R,4,B,Trial School,4/2/2004,female,O+,1111111111,laavanya.r@trialschool.com
277,KRISHNAN MEGHANA,4,B,Trial School,2/9/2004,male,B2+,1111111111,krishnan.meghana@trialschool.com
278,KIRUTHIKA R,4,B,CBSE School,4/8/2004,female,A2+,1111111111,kiruthika.r@cbseschool.com
279,KHATRI YUKTI,4,B,Trial School,12/11/2004,male,A+,1111111111,khatri.yukti@trialschool.com
280,JOSHUA NITHIN R,4,B,Demo School,5/9/2004,male,A1B+,1111111111,joshua.nithin.r@demoschool.com
281,DEWAN AAYUSH,5,A,Trial School,5/9/2003,male,B1+,1111111111,dewan.aayush@trialschool.com
282,DIVYA S,5,A,CBSE School,12/11/2003,female,AB+,1111111111,divya.s@cbseschool.com
283,DOMNIC B A,5,A,Demo School,4/8/2003,male,A2B+,1111111111,domnic.b.a@demoschool.com
284,DOSHI A JEENAL,5,A,Model School,2/9/2003,female,B1+,1111111111,domnic.b.a@modelschool.com
285,GOPINATH S,5,A,Demo School,4/2/2003,male,AB-,1111111111,gopinath.s@demoschool.com
286,GOUTHAM R,5,A,Model School,7/5/2003,male,A2B+,1111111111,gopinath.s@modelschool.com
287,GOWRI R,5,A,Model School,5/9/2003,female,A-,1111111111,goutham.r@modelschool.com
288,HARISH P,5,A,CBSE School,12/11/2003,male,A+,1111111111,harish.p@cbseschool.com
289,HARSHA RUPAK,5,A,Demo School,4/8/2003,female,AB-,1111111111,harsha.rupak@demoschool.com
290,KAVYA S,5,A,Trial School,2/9/2003,female,A2+,1111111111,kavya.s@trialschool.com
291,KRISHNA SAI SD,5,A,Demo School,4/2/2003,male,AB2+,1111111111,krishna.sai.sd@demoschool.com
292,KRISHNA SAI SD,5,A,Trial School,7/5/2003,male,A1B-,1111111111,krishna.sai.sd@trialschool.com
293,KRISHNA SHREE S,5,A,Model School,5/9/2003,male,B-,1111111111,krishna.sai.sd@modelschool.com
294,KRISHNA SRI MAHIKA,5,A,Demo School,12/11/2003,male,A2B-,1111111111,krishna.sri.mahika@demoschool.com
295,KRISHNA SURESH D,5,A,Demo School,4/8/2003,male,AB2+,1111111111,krishna.suresh.d@demoschool.com
296,KRISHNA VAMSI MULA,5,A,CBSE School,2/9/2003,male,B1-,1111111111,krishna.vamsi.mula@cbseschool.com
297,Lishram Singh,5,A,Model School,2/20/2003,male,B1-,1111111111,krishna.vamsi.mula@modelschool.com
298,Livingston R,5,A,CBSE School,6/2/2003,male,O-,1111111111,livingston.r@cbseschool.com
299,Loganathan R,5,A,CBSE School,5/14/2003,male,B2+,1111111111,loganathan.r@cbseschool.com
300,Lokesh R,5,A,Trial School,3/18/2003,male,B+,1111111111,lokesh.r@trialschool.com
301,NAMBILLI VARUN,5,A,CBSE School,2/9/2003,male,B1+,1111111111,nambilli.varun@cbseschool.com
302,ARVIND G,5,B,Model School,2/9/2002,male,AB1+,1111111111,nambilli.varun@modelschool.com
303,AVINASH,5,B,Model School,5/9/2002,male,A-,1111111111,arvind.g@modelschool.com
304,CHACHAM VIPANCHI,5,B,Trial School,4/2/2002,female,A1B-,1111111111,chacham.vipanchi@trialschool.com
305,DANIEL ABISHEK B,5,B,Trial School,7/5/2002,male,AB2+,1111111111,daniel.abishek.b@trialschool.com
306,DIVYALAKSHMI J,5,B,Model School,5/9/2002,female,A1+,1111111111,daniel.abishek.b@modelschool.com
307,GOPAL GAYATRI,5,B,CBSE School,12/11/2002,male,A1B-,1111111111,gopal.gayatri@cbseschool.com
308,GUPTA A ARCHIT,5,B,Trial School,4/8/2002,male,A+,1111111111,gupta.a.archit@trialschool.com
309,HAARISH V C,5,B,Demo School,2/9/2002,male,B1-,1111111111,haarish.v.c@demoschool.com
310,HARAN VISHNU K,5,B,Trial School,4/2/2002,male,AB+,1111111111,haran.vishnu.k@trialschool.com
311,HARI S,5,B,Demo School,7/5/2002,male,A1B+,1111111111,hari.s@demoschool.com
312,Harmendra Dharmendra,5,B,Demo School,5/9/2002,male,AB-,1111111111,harmendra.dharmendra@demoschool.com
313,ISHWAR R,5,B,Demo School,12/11/2002,male,B1+,1111111111,ishwar.r@demoschool.com
314,JAYAN K G,5,B,Demo School,4/8/2002,male,A2+,1111111111,jayan.k.g@demoschool.com
315,JAYARAMAN HARINI,5,B,CBSE School,2/9/2002,male,A1B-,1111111111,jayaraman.harini@cbseschool.com
316,JAYASOORYA S K,5,B,Model School,2/20/2002,male,A-,1111111111,jayasoorya.s.kjayasoorya.s.k@modelschool.com
317,JECINTHA V,5,B,CBSE School,6/2/2002,female,A2B-,1111111111,jecintha.v@cbseschool.com
318,KRISHNARAJ MEENAKSHI,5,B,Demo School,5/14/2002,male,A2B+,1111111111,krishnaraj.meenakshi@demoschool.com
319,MAHIKA,5,B,Trial School,12/11/2002,female,AB-,1111111111,mahika@trialschool.com
320,RAGHAV,5,B,CBSE School,4/8/2002,male,B+,1111111111,raghav@cbseschool.com
321,SURESH D,5,B,Model School,3/18/2002,male,A2B+,1111111111,suresh.dsuresh.d@modelschool.com
322,BRAHADHEESWARAN T T,6,A,Model School,5/9/2001,male,AB1+,1111111111,brahadheeswaran.t.tbrahadheeswaran.t.t@modelschool.com
323,DEEKSHA G,6,A,Trial School,12/11/2001,female,A1B-,1111111111,deeksha.gdeeksha.g@trialschool.com
324,DOSHI H MITANSHI,6,A,CBSE School,4/8/2001,male,A1-,1111111111,doshi.h.mitanshi@cbseschool.com
325,DUTTA ROHAN,6,A,Demo School,2/9/2001,male,A2B+,1111111111,dutta.rohan@demoschool.com
326,ELAKKIYA A,6,A,CBSE School,4/2/2001,female,AB+,1111111111,elakkiya.a@cbseschool.com
327,HAJIRA ZAINAB,6,A,Trial School,7/5/2001,male,AB1+,1111111111,hajira.zainabhajira.zainab@trialschool.com
328,HARIPRAKASH VALIATHAN ADITYA,6,A,CBSE School,5/9/2001,male,A1+,1111111111,hariprakash.valiathan.aditya@cbseschool.com
329,HARIRAM K,6,A,Trial School,12/11/2001,male,A1+,1111111111,hariram.khariram.k@trialschool.com
330,HEMNATH RA,6,A,Model School,4/8/2001,male,A2+,1111111111,hemnath.rahemnath.ra@modelschool.com
331,JAYARAM SHRINIVAS,6,A,Model School,2/9/2001,male,B-,1111111111,jayaram.shrinivasjayaram.shrinivas@modelschool.com
332,JEEVITHA P V,6,A,Model School,4/2/2001,female,A2-,1111111111,jeevitha.p.vjeevitha.p.v@modelschool.com
333,KHOUSHIK R M,6,A,CBSE School,7/5/2001,male,B-,1111111111,khoushik.r.m@cbseschool.com
334,KRITHIKA S,6,A,Demo School,5/9/2001,female,B1+,1111111111,krithika.s@demoschool.com
335,LAAVANYA,6,A,Model School,12/11/2001,female,A1+,1111111111,laavanyalaavanya@modelschool.com
336,Lathika S,6,A,Trial School,4/8/2001,female,A2+,1111111111,lathika.slathika.s@trialschool.com
337,Laxman Reddy,6,A,CBSE School,2/9/2001,female,B+,1111111111,laxman.reddy@cbseschool.com
338,NANDHINI P,6,A,Model School,2/20/2001,female,A+,1111111111,nandhini.pnandhini.p@modelschool.com
339,REENA MEHTA E,6,A,Model School,6/2/2001,female,A2-,1111111111,reena.mehta.ereena.mehta.e@modelschool.com
340,RIYA OVIYA I,6,A,CBSE School,5/14/2001,female,AB2+,1111111111,riya.oviya.i@cbseschool.com
341,SUSHMITHA M,6,A,Trial School,3/18/2001,female,B2+,1111111111,sushmitha.msushmitha.m@trialschool.com
342,GOVIND AKSHAYA,6,B,Demo School,5/9/2001,male,AB2+,1111111111,govind.akshaya@demoschool.com
343,GUNASEKARAN RAGHUL,6,B,Demo School,12/11/2001,male,B1-,1111111111,gunasekaran.raghul@demoschool.com
344,HARIHARAN S,6,B,Model School,4/8/2001,male,B+,1111111111,hariharan.shariharan.s@modelschool.com
345,JEMIMAH ANGELINE S,6,B,Demo School,2/9/2001,female,A1B+,1111111111,jemimah.angeline.s@demoschool.com
346,JHA SHRESHTHA,6,B,Model School,4/2/2001,female,A2+,1111111111,jha.shreshthajha.shreshtha@modelschool.com
347,KATHIRESAN M KRITHIKA,6,B,Model School,7/5/2001,male,B2+,1111111111,kathiresan.m.krithikakathiresan.m.krithika@modelschool.com
348,KAUSHIK S L,6,B,CBSE School,5/9/2001,male,A1B-,1111111111,kaushik.s.l@cbseschool.com
349,KEVIN K,6,B,Trial School,12/11/2001,male,A2B-,1111111111,kevin.kkevin.k@trialschool.com
350,KISHORE S,6,B,Trial School,4/8/2001,male,A2+,1111111111,kishore.skishore.s@trialschool.com
351,KOHLI SINGH AMITOJ,6,B,CBSE School,2/9/2001,male,O-,1111111111,kohli.singh.amitoj@cbseschool.com
352,KRISHNAMURTHY SAISRIVATSA,6,B,Trial School,4/2/2001,male,A1B+,1111111111,krishnamurthy.saisrivatsakrishnamurthy.saisrivatsa@trialschool.com
353,KRISHNAN ARNAV,6,B,CBSE School,7/5/2001,male,A+,1111111111,krishnan.arnav@cbseschool.com
354,Lalitha Kumar,6,B,CBSE School,5/9/2001,female,O-,1111111111,lalitha.kumar@cbseschool.com
355,LILLE S,6,B,Model School,12/11/2001,female,AB+,1111111111,lille.slille.s@modelschool.com
356,MERHABA M,6,B,Demo School,4/8/2001,female,A2B-,1111111111,merhaba.m@demoschool.com
357,REVATHI,6,B,CBSE School,2/9/2001,female,A1+,1111111111,revathi@cbseschool.com
358,SAANA KHAN,6,B,CBSE School,2/20/2001,male,B1+,1111111111,saana.khan@cbseschool.com
359,VALARMATHI,6,B,Model School,6/2/2001,female,O-,1111111111,valarmathivalarmathi@modelschool.com
360,VIKRAM KUMAR,6,B,CBSE School,5/14/2001,male,AB1+,1111111111,vikram.kumar@cbseschool.com
361,ZACHARIAH H,6,B,Model School,3/18/2001,male,A2B-,1111111111,zachariah.hzachariah.h@modelschool.com
362,AAKASH J,7,A,Trial School,5/9/2001,male,AB+,1111111111,aakash.jaakash.j@trialschool.com
363,ABHINANDH S,7,A,Trial School,12/11/2001,male,A-,1111111111,abhinandh.sabhinandh.s@trialschool.com
364,AISHWARRYA P,7,A,Model School,4/8/2001,female,B-,1111111111,aishwarrya.paishwarrya.p@modelschool.com
365,AISHWARYA G,7,A,Model School,2/9/2001,female,A2+,1111111111,aishwarya.gaishwarya.g@modelschool.com
366,AKHIL G,7,A,CBSE School,4/2/2001,male,A2B-,1111111111,akhil.g@cbseschool.com
367,AMARCHAND S,7,A,CBSE School,7/5/2001,male,A2+,1111111111,amarchand.s@cbseschool.com
368,ARVIND P,7,A,Trial School,5/9/2001,male,A2+,1111111111,arvind.parvind.p@trialschool.com
369,AVINASH A,7,A,CBSE School,12/11/2001,male,A1-,1111111111,avinash.a@cbseschool.com
370,CHAKRABORTI SHATARUPA,7,A,CBSE School,4/8/2001,male,A2B-,1111111111,chakraborti.shatarupa@cbseschool.com
371,DHANALAKSHMI V,7,A,Demo School,2/9/2001,female,AB+,1111111111,dhanalakshmi.v@demoschool.com
372,DHANYA S,7,A,Demo School,4/2/2001,female,AB+,1111111111,dhanya.s@demoschool.com
373,GOVIND ARUN,7,A,Model School,7/5/2001,male,B2+,1111111111,govind.arungovind.arun@modelschool.com
374,HEMA,7,A,Demo School,5/9/2001,female,B+,1111111111,hema@demoschool.com
375,JOSHI KUMAR LOKESH,7,A,CBSE School,12/11/2001,female,A1+,1111111111,joshi.kumar.lokesh@cbseschool.com
376,SURESH,7,A,CBSE School,4/8/2001,male,AB+,1111111111,suresh@cbseschool.com
377,REVATHI,7,A,Trial School,2/9/2001,female,A1B+,1111111111,revathirevathi@trialschool.com
378,SAANA KHAN,7,A,CBSE School,2/20/2001,male,AB2+,1111111111,saana.khan@cbseschool.com
379,VALARMATHI,7,A,Trial School,6/2/2001,female,AB1+,1111111111,valarmathivalarmathi@trialschool.com
380,VIKRAM KUMAR,7,A,Trial School,5/14/2001,male,AB2+,1111111111,vikram.kumarvikram.kumar@trialschool.com
381,ZACHARIAH H,7,A,CBSE School,3/18/2001,male,A2+,1111111111,zachariah.h@cbseschool.com
382,AKSHAY K,7,A,Trial School,1/2/2004,male,AB1+,1111111111,akshay.kakshay.k@trialschool.com
383,KATYAL DEEPIKA,7,A,Trial School,5/3/2004,female,A2-,1111111111,katyal.deepikakatyal.deepika@trialschool.com
384,KRISHNA ADITYA R,7,A,Trial School,7/6/2004,male,AB+,1111111111,krishna.aditya.rkrishna.aditya.r@trialschool.com
385,LAVANYASHETTY,7,A,Demo School,6/1/2004,female,A1+,1111111111,lavanyashetty@demoschool.com
386,LAXMIKANTH E,7,A,Demo School,4/7/2004,male,B+,1111111111,laxmikanth.e@demoschool.com
387,MODI B ANKITHA,7,A,CBSE School,11/8/2004,female,O-,1111111111,modi.b.ankitha@cbseschool.com
388,MONITHA R,7,A,Demo School,1/2/2004,female,O+,1111111111,monitha.r@demoschool.com
389,NAIR ADARSH,7,A,Model School,5/3/2004,male,AB1+,1111111111,nair.adarshnair.adarsh@modelschool.com
390,NARAJ AMOGH,7,A,Trial School,7/6/2004,male,A1B+,1111111111,naraj.amoghnaraj.amogh@trialschool.com
391,NOMIKA GAYATHRI,7,A,Trial School,6/1/2004,female,AB+,1111111111,nomika.gayathrinomika.gayathri@trialschool.com
392,PRAVEEN T,7,A,Demo School,4/7/2004,male,O+,1111111111,praveen.t@demoschool.com
393,PRIYA SHREE R,7,A,Trial School,11/8/2004,female,B-,1111111111,priya.shree.rpriya.shree.r@trialschool.com
394,RASHITHA DEVARAPALLI,7,A,Trial School,1/2/2004,female,AB1+,1111111111,rashitha.devarapallirashitha.devarapalli@trialschool.com
395,RATHNAM S ADITYA,7,A,Model School,5/3/2004,male,AB-,1111111111,rathnam.s.adityarathnam.s.aditya@modelschool.com
396,REDDY KARAN CHANDRA,7,A,Demo School,7/6/2004,male,A2B+,1111111111,reddy.karan.chandra@demoschool.com
397,REKHASRI R,7,A,Model School,6/1/2004,male,A1+,1111111111,rekhasri.rrekhasri.r@modelschool.com
398,RM PRIYA CHELLA,7,A,Model School,4/7/2004,female,A1-,1111111111,rm.priya.chellarm.priya.chella@modelschool.com
399,SHRIRAAM ABHINAVA,7,A,Demo School,11/8/2004,male,B-,1111111111,shriraam.abhinava@demoschool.com
400,SOMASUNDARAM KARTHIK T,7,A,CBSE School,3/4/2004,male,O+,1111111111,somasundaram.karthik.t@cbseschool.com
401,SRINIVAS AKELLA,7,A,Trial School,3/5/2004,male,B-,1111111111,srinivas.akellasrinivas.akella@trialschool.com
402,Dinesh Kumar,7,B,Trial School,5/9/2001,male,B+,1111111111,dinesh.kumardinesh.kumar@trialschool.com
403,Gayathri,7,B,Model School,12/11/2001,female,A+,1111111111,gayathrigayathri@modelschool.com
404,Kiran,7,B,Demo School,4/8/2001,male,A2+,1111111111,kiran@demoschool.com
405,Lakshmi Narayanan,7,B,Demo School,2/9/2001,male,B1-,1111111111,lakshmi.narayanan@demoschool.com
406,Mahima,7,B,CBSE School,4/2/2001,female,AB+,1111111111,mahima@cbseschool.com
407,Michael,7,B,CBSE School,7/5/2001,male,B+,1111111111,michael@cbseschool.com
408,Shadiya,7,B,CBSE School,5/9/2001,female,A2B+,1111111111,shadiya@cbseschool.com
409,Shakila,7,B,Model School,12/11/2001,female,AB1+,1111111111,shakilashakila@modelschool.com
410,Sharmila,7,B,Trial School,4/8/2001,female,A1B+,1111111111,sharmilasharmila@trialschool.com
411,Smitha,7,B,Model School,2/9/2001,female,O-,1111111111,smithasmitha@modelschool.com
412,Sri Ram,7,B,CBSE School,4/2/2001,male,A-,1111111111,sri.ram@cbseschool.com
413,Uma,7,B,Trial School,7/5/2001,female,AB1+,1111111111,umauma@trialschool.com
414,Vinothini,7,B,Model School,5/9/2001,female,A+,1111111111,vinothinivinothini@modelschool.com
415,Yuvan,7,B,Demo School,12/11/2001,male,O-,1111111111,yuvan@demoschool.com
416,Yuvaraj,7,B,Model School,4/8/2001,male,O+,1111111111,yuvarajyuvaraj@modelschool.com
417,Dinesh Kumar,7,B,Model School,2/9/2001,male,B+,1111111111,dinesh.kumardinesh.kumar@modelschool.com
418,Gayathri,7,B,Model School,2/20/2001,female,A+,1111111111,gayathrigayathri@modelschool.com
419,Kiran,7,B,Demo School,6/2/2001,male,B+,1111111111,kiran@demoschool.com
420,Lakshmi Narayanan,7,B,Trial School,5/14/2001,male,A2-,1111111111,lakshmi.narayananlakshmi.narayanan@trialschool.com
421,Mahima,7,B,CBSE School,3/18/2001,female,A1B+,1111111111,mahima@cbseschool.com
422,HARI T,8,A,Demo School,5/9/2001,male,AB1+,1111111111,hari.t@demoschool.com
423,YAMINI,8,A,Model School,12/11/2001,female,B-,1111111111,yaminiyamini@modelschool.com
424,AYSHWARYA M,8,A,Model School,4/8/2001,female,A+,1111111111,ayshwarya.mayshwarya.m@modelschool.com
425,CHRISTINA S,8,A,CBSE School,2/9/2001,female,A1-,1111111111,christina.s@cbseschool.com
426,DIWAKAR PRANAV,8,A,Demo School,4/2/2001,male,B1-,1111111111,diwakar.pranav@demoschool.com
427,DOMNIC B,8,A,Model School,7/5/2001,male,AB2+,1111111111,domnic.bdomnic.b@modelschool.com
428,DUBEY AKSHITA,8,A,Model School,5/9/2001,female,A-,1111111111,dubey.akshitadubey.akshita@modelschool.com
429,DURKA M M,8,A,CBSE School,12/11/2001,female,AB2+,1111111111,durka.m.m@cbseschool.com
430,GURU KUMARA PRANAVA,8,A,CBSE School,4/8/2001,male,A2+,1111111111,guru.kumara.pranava@cbseschool.com
431,HEMNATH RA,8,A,Demo School,2/9/2001,male,AB1+,1111111111,hemnath.ra@demoschool.com
432,HIMESH W,8,A,Demo School,4/2/2001,male,A2B-,1111111111,himesh.w@demoschool.com
433,KRISHNAN GAAYATHRI,8,A,Demo School,7/5/2001,male,A2-,1111111111,krishnan.gaayathri@demoschool.com
434,Loganathan R,8,A,Model School,5/9/2001,male,A1B+,1111111111,loganathan.rloganathan.r@modelschool.com
435,MAANASA,8,A,Demo School,12/11/2001,female,B1-,1111111111,maanasa@demoschool.com
436,MEENAKSHI,8,A,Model School,4/8/2001,female,A1+,1111111111,meenakshimeenakshi@modelschool.com
437,MUTHUKUMAR VISHALINI,8,A,Model School,2/9/2001,male,B1+,1111111111,muthukumar.vishalinimuthukumar.vishalini@modelschool.com
438,MUTHULAKSHMI SP,8,A,CBSE School,2/20/2001,female,B2+,1111111111,muthulakshmi.sp@cbseschool.com
439,NIVETHITHA S,8,A,Trial School,6/2/2001,female,O-,1111111111,nivethitha.snivethitha.s@trialschool.com
440,NIVIGNESH,8,A,Model School,5/14/2001,male,A1B-,1111111111,nivigneshnivignesh@modelschool.com
441,PRIYADHARSINI N,8,A,CBSE School,3/18/2001,female,A2+,1111111111,priyadharsini.n@cbseschool.com
442,DOKANIA HARSHITA,8,B,Model School,5/9/2001,female,AB+,1111111111,dokania.harshitadokania.harshita@modelschool.com
443,HEMAGANTH S,8,B,Trial School,12/11/2001,female,B2+,1111111111,hemaganth.shemaganth.s@trialschool.com
444,Henry Jackson,8,B,Model School,4/8/2001,male,AB1+,1111111111,henry.jacksonhenry.jackson@modelschool.com
445,JOSHUA MANUEL J,8,B,Model School,2/9/2001,male,A+,1111111111,joshua.manuel.jjoshua.manuel.j@modelschool.com
446,JOSHUA MARVIN,8,B,CBSE School,4/2/2001,male,AB+,1111111111,joshua.marvin@cbseschool.com
447,JUHNA R J,8,B,CBSE School,7/5/2001,female,A1-,1111111111,juhna.r.j@cbseschool.com
448,KRISHNAN GOKULA M,8,B,Trial School,5/9/2001,male,A1B+,1111111111,krishnan.gokula.mkrishnan.gokula.m@trialschool.com
449,KRISHNAN VENKATA SAI,8,B,Trial School,12/11/2001,male,B+,1111111111,krishnan.venkata.saikrishnan.venkata.sai@trialschool.com
450,LOKESH S,8,B,Model School,4/8/2001,male,AB2+,1111111111,lokesh.slokesh.s@modelschool.com
451,MRUDULA T,8,B,Trial School,2/9/2001,female,B1+,1111111111,mrudula.tmrudula.t@trialschool.com
452,MUHAMMED THABREZ,8,B,Trial School,4/2/2001,male,A2B+,1111111111,muhammed.thabrezmuhammed.thabrez@trialschool.com
453,MUKUNDAN BHARGAVEE,8,B,CBSE School,7/5/2001,male,A+,1111111111,mukundan.bhargavee@cbseschool.com
454,MURUGANANDAM VARUN,8,B,Model School,5/9/2001,male,A1B+,1111111111,muruganandam.varunmuruganandam.varun@modelschool.com
455,NIVHASINI V,8,B,Trial School,12/11/2001,female,A2B-,1111111111,nivhasini.vnivhasini.v@trialschool.com
456,NIZAR SENU,8,B,Model School,4/8/2001,male,B-,1111111111,nizar.senunizar.senu@modelschool.com
457,NURUSHOTHAMAN,8,B,Trial School,2/9/2001,male,A2B-,1111111111,nurushothamannurushothaman@trialschool.com
458,PRIYA MOHANA K,8,B,Model School,2/20/2001,female,B-,1111111111,priya.mohana.kpriya.mohana.k@modelschool.com
459,PRIYADARSHINI M,8,B,Trial School,6/2/2001,female,A-,1111111111,priyadarshini.mpriyadarshini.m@trialschool.com
460,PULIKOT ACHUTH,8,B,Demo School,5/14/2001,male,AB+,1111111111,pulikot.achuth@demoschool.com
461,ROHIT R,8,B,CBSE School,3/18/2001,male,B1-,1111111111,rohit.r@cbseschool.com
462,APOORVA MOOKHERJEE,9,A,CBSE School,5/9/2001,female,A2B+,1111111111,apoorva.mookherjee@cbseschool.com
463,CATHERINE ALICE A,9,A,Demo School,12/11/2001,female,B-,1111111111,catherine.alice.a@demoschool.com
464,DANIEL EBENEZER,9,A,CBSE School,4/8/2001,male,A1-,1111111111,daniel.ebenezer@cbseschool.com
465,HAROON A M,9,A,Trial School,2/9/2001,male,A+,1111111111,haroon.a.mharoon.a.m@trialschool.com
466,HARSHA B M,9,A,CBSE School,4/2/2001,female,O-,1111111111,harsha.b.m@cbseschool.com
467,INAMUL,9,A,Trial School,7/5/2001,male,A1B-,1111111111,inamulinamul@trialschool.com
468,KALA PRIYA,9,A,Trial School,5/9/2001,female,AB+,1111111111,kala.priyakala.priya@trialschool.com
469,KESAAV Y,9,A,Model School,12/11/2001,male,O+,1111111111,kesaav.ykesaav.y@modelschool.com
470,KIRTHIKA B,9,A,Demo School,4/8/2001,female,B1+,1111111111,kirthika.b@demoschool.com
471,KOTHARI R CHIRAG,9,A,Demo School,2/9/2001,female,A2B+,1111111111,kothari.r.chirag@demoschool.com
472,LIVINGSTON R,9,A,CBSE School,4/2/2001,male,B1+,1111111111,livingston.r@cbseschool.com
473,MANANA J,9,A,CBSE School,7/5/2001,female,A2-,1111111111,manana.j@cbseschool.com
474,MOHD HUSSAIN IZHARUL,9,A,CBSE School,5/9/2001,male,AB+,1111111111,mohd.hussain.izharul@cbseschool.com
475,MOHUN GAUTHAM,9,A,Demo School,12/11/2001,male,AB+,1111111111,mohun.gautham@demoschool.com
476,MONALISA,9,A,Model School,4/8/2001,female,A1-,1111111111,monalisamonalisa@modelschool.com
477,MUKESH A,9,A,CBSE School,2/9/2001,male,B1+,1111111111,mukesh.a@cbseschool.com
478,MUKUND MANASVINI,9,A,Model School,2/20/2001,male,AB1+,1111111111,mukund.manasvinimukund.manasvini@modelschool.com
479,NATHISHA,9,A,Trial School,6/2/2001,female,A2B+,1111111111,nathishanathisha@trialschool.com
480,RANJIT,9,A,Trial School,5/14/2001,male,O-,1111111111,ranjitranjit@trialschool.com
481,SUSHMITHA M,9,A,Model School,3/18/2001,female,A2-,1111111111,sushmitha.msushmitha.m@modelschool.com
482,GAYATHRI,9,B,Demo School,5/9/2000,female,B2+,1111111111,gayathri@demoschool.com
483,PRIYA SHANMUGA A,9,B,Model School,12/11/2000,female,A2B+,1111111111,priya.shanmuga.apriya.shanmuga.a@modelschool.com
484,PRIYANKA B,9,B,CBSE School,4/8/2000,female,A1B+,1111111111,priyanka.b@cbseschool.com
485,PURKAIT T SUNITHA,9,B,Trial School,2/9/2000,female,A2B-,1111111111,purkait.t.sunithapurkait.t.sunitha@trialschool.com
486,RISHOB P,9,B,Model School,4/2/2000,male,A1B-,1111111111,rishob.prishob.p@modelschool.com
487,RM PRIYA CHELLA,9,B,Demo School,7/5/2000,female,A1B+,1111111111,rm.priya.chella@demoschool.com
488,ROONWAL S MUKUND,9,B,Demo School,5/9/2000,male,B2+,1111111111,roonwal.s.mukund@demoschool.com
